"","id","player","team","overall_ecr","adp","adp_sd","uncertainty","tier","proj_fp_avg","player_type","seasons_played","hist_fp_avg","hist_delta_avg","hist_delta_last","proj_fp_median","proj_sd","num_sources","projection_rank","replacement_points","vor","vor_rank","aav","career_games","hist_fp_max","last_season_fp","pos"
"1","13589","Josh Allen","BUF",25.18,16.614,7.81790150871703,0.05,1,404.380285714286,"Veteran (3+ yrs)",8,382.3975,21.9827857142857,8.16028571428569,400.08,12.1793240878998,6,1,320.401428571429,83.9788571428572,1,34.556,126,433.18,396.22,"QB"
"2","13593","Lamar Jackson","BAL",30.68,38.71,12.5023901714832,0.22,1,365.106285714286,"Veteran (3+ yrs)",8,333.6025,31.5037857142857,132.146285714286,356.86,19.7315338626126,6,2,320.401428571429,44.7048571428572,2,22.0455,116,470.08,232.96,"QB"
"3","16581","Jayden Daniels","WAS",53.15,56.482,15.0592196344963,0.3,1,362.576285714286,"Young (1-2yrs)",2,261.95,100.626285714286,232.896285714286,358.34,17.8892703942362,6,3,320.401428571429,42.1748571428571,3,12.217,24,394.22,129.68,"QB"
"4","14783","Jalen Hurts","PHI",55.32,61.898,14.0396472890169,0.09,1,357.560285714286,"Veteran (3+ yrs)",6,332.673333333333,24.8869523809524,25.0002857142857,351.44,13.5607692224579,6,4,320.401428571429,37.1588571428572,4,13.1185,92,423.54,332.56,"QB"
"5","16580","Drake Maye","NEP",35.06,44.956,15.358115248949,0.07,1,352.468857142857,"Young (1-2yrs)",2,284.1,68.3688571428572,-26.3911428571428,353.7,12.1470593345134,6,5,320.401428571429,32.0674285714286,5,15.3925,30,378.86,378.86,"QB"
"6","17032","Jaxson Dart","NYG",95.49,91.568,21.021773854744,0.32,2,341.692,"Young (1-2yrs)",1,265.38,76.312,76.312,337.56,16.6795529516431,6,6,320.401428571429,21.2905714285715,6,8.139,14,265.38,265.38,"QB"
"7","16579","Caleb Williams","CHI",64.55,70.696,21.3306958161238,0.46,1,334.654,"Young (1-2yrs)",2,306.31,28.3439999999999,-5.12600000000003,327.94,22.8382788318209,5,7,320.401428571429,14.2525714285715,7,9.663,34,339.78,339.78,"QB"
"8","16582","Bo Nix","DEN",99.18,101.944,22.6685761352583,0.44,2,330.098,"Young (1-2yrs)",2,333.27,-3.17199999999997,8.358,325.28,23.5046361384302,5,8,320.401428571429,9.69657142857147,8,6.787,34,344.8,321.74,"QB"
"9","14779","Justin Herbert","LAC",68.41,80.232,21.2198976434855,0.35,2,329.23,"Veteran (3+ yrs)",6,314.35,14.88,19.45,321.66,19.1696896166839,5,9,320.401428571429,8.82857142857148,9,8.607,95,387.66,309.78,"QB"
"10","15237","Trevor Lawrence","JAC",74.51,78.008,17.4523527353764,0.31,2,327.344,"Veteran (3+ yrs)",5,262.896,64.448,-33.436,316.72,18.2728270025923,6,10,320.401428571429,6.94257142857145,10,9.579,77,360.78,360.78,"QB"
"11","14777","Joe Burrow","CIN",43.47,48.436,12.8561092092437,0.24,1,325.983714285714,"Veteran (3+ yrs)",6,259.466666666667,66.5170476190476,187.323714285714,319.62,18.3164798811916,6,11,320.401428571429,5.58228571428572,11,15.835,77,385.42,138.66,"QB"
